"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","Успешное создание нового кроссовка","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:40 UTC 2026","","test_products_api","",""
"","30221","Успешное добавление лимитированного товара в корзину покупателя","tests.e2e","Wed Apr 01 07:43:43 UTC 2026","broken","Wed Apr 01 07:44:13 UTC 2026","","test_checkout_flow","",""
"","114","Успешный вход с правильными данными","tests.api","Wed Apr 01 07:43:39 UTC 2026","passed","Wed Apr 01 07:43:39 UTC 2026","","test_auth_api","",""
"","94","Проверка создания товара с разными ценами","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","113","Проверка создания товара с разными ценами","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Wed Apr 01 07:43:39 UTC 2026","broken","Wed Apr 01 07:43:39 UTC 2026","","test_carts_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:40 UTC 2026","","test_orders_api","",""
"","34216","Успешное добавление кроссовок через форму","tests.ui","Wed Apr 01 07:44:13 UTC 2026","broken","Wed Apr 01 07:44:47 UTC 2026","","test_inventory_ui","",""
"","30886","Фильтрация таблицы через строку поиска","tests.ui","Wed Apr 01 07:44:48 UTC 2026","broken","Wed Apr 01 07:45:19 UTC 2026","","test_inventory_ui","",""
"","30324","Проверка переключения страниц (Next / Previous)","tests.ui","Wed Apr 01 07:45:19 UTC 2026","broken","Wed Apr 01 07:45:49 UTC 2026","","test_inventory_ui","",""
"","30345","Отмена создания товара закрывает форму без сохранения","tests.ui","Wed Apr 01 07:46:20 UTC 2026","broken","Wed Apr 01 07:46:50 UTC 2026","","test_inventory_ui","",""
"","112","Проверка создания товара с разными ценами","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Wed Apr 01 07:43:39 UTC 2026","broken","Wed Apr 01 07:43:39 UTC 2026","","test_carts_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","Wed Apr 01 07:43:39 UTC 2026","passed","Wed Apr 01 07:43:39 UTC 2026","","test_auth_api","",""
"","26","Ошибка при запросе несуществующего заказа","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:40 UTC 2026","","test_orders_api","",""
"","221","Попытка добавить реальный товар в фейковую корзину","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:40 UTC 2026","","test_carts_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","30416","Проверка появления ошибки при неверном пароле","tests.ui","Wed Apr 01 07:46:51 UTC 2026","broken","Wed Apr 01 07:47:21 UTC 2026","","test_login_ui","",""
"","0","Попытка удаления товара без токена","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Wed Apr 01 07:43:40 UTC 2026","passed","Wed Apr 01 07:43:40 UTC 2026","","test_orders_api","",""
"","95","Проверка создания товара с разными ценами","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","30414","Отображение заглушки при поиске несуществующего товара","tests.ui","Wed Apr 01 07:45:49 UTC 2026","broken","Wed Apr 01 07:46:20 UTC 2026","","test_inventory_ui","",""
"","85","Блокировка входа с неверным паролем","tests.api","Wed Apr 01 07:43:39 UTC 2026","passed","Wed Apr 01 07:43:39 UTC 2026","","test_auth_api","",""
"","6","Ошибка создания товара без названия","tests.api","Wed Apr 01 07:43:41 UTC 2026","passed","Wed Apr 01 07:43:41 UTC 2026","","test_products_api","",""
"","30341","Ошибка при попытке входа с пустыми полями","tests.ui","Wed Apr 01 07:47:21 UTC 2026","broken","Wed Apr 01 07:47:51 UTC 2026","","test_login_ui","",""
