"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","Проверка создания товара с разными ценами","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","5","Ошибка создания товара без названия","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-08-19","broken","2026-08-19","","test_carts_api","",""
"","319","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-08-19","passed","2026-08-19","","test_carts_api","",""
"","144","Проверка создания товара с разными ценами","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-08-19","broken","2026-08-19","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-08-19","passed","2026-08-19","","test_orders_api","",""
"","230","Проверка создания товара с разными ценами","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","111","Успешный вход с правильными данными","tests.api","2026-08-19","passed","2026-08-19","","test_auth_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","2026-08-19","passed","2026-08-19","","test_orders_api","",""
"","77","Блокировка входа с неверным паролем","tests.api","2026-08-19","passed","2026-08-19","","test_auth_api","",""
"","134","Проверка создания товара с разными ценами","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","153","Успешное создание нового кроссовка","tests.api","2026-08-19","passed","2026-08-19","","test_products_api","",""
"","19","Ошибка при запросе несуществующего заказа","tests.api","2026-08-19","passed","2026-08-19","","test_orders_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","2026-08-19","passed","2026-08-19","","test_auth_api","",""
