"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Попытка получить список заказов без авторизации","tests.api","2026-08-20","passed","2026-08-20","","test_orders_api","",""
"","16","Успешное получение списка заказов администратором","tests.api","2026-08-20","passed","2026-08-20","","test_orders_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-08-20","broken","2026-08-20","","test_carts_api","",""
"","158","Проверка создания товара с разными ценами","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","96","Блокировка входа с неверным паролем","tests.api","2026-08-20","passed","2026-08-20","","test_auth_api","",""
"","173","Успешное создание нового кроссовка","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","137","Проверка создания товара с разными ценами","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-08-20","broken","2026-08-20","","test_carts_api","",""
"","1","Попытка удаления товара без токена","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","147","Проверка создания товара с разными ценами","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","143","Успешный вход с правильными данными","tests.api","2026-08-20","passed","2026-08-20","","test_auth_api","",""
"","157","Проверка создания товара с разными ценами","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","6","Ошибка создания товара без названия","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","264","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-08-20","passed","2026-08-20","","test_carts_api","",""
"","7","Проверка создания товара с разными ценами","tests.api","2026-08-20","passed","2026-08-20","","test_products_api","",""
"","24","Ошибка при запросе несуществующего заказа","tests.api","2026-08-20","passed","2026-08-20","","test_orders_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","2026-08-20","passed","2026-08-20","","test_auth_api","",""
