"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Пагинация таблицы","0"
"0","Каталог и Склад","0","API Товаров","1","0","Валидация полей","0"
"0","Корзины и Заказы","0","API Заказов","1","0","Поиск заказа","0"
"2","Корзина и заказы","0","API Корзины","1","0","","0"
"0","Каталог и Склад","0","API Товаров","5","0","Граничные значения цен","0"
"1","Интерфейс Админки","0","UI Авторизация","0","0","Негативные сценарии","0"
"0","Безопасность","0","API Авторизация","3","0","","0"
"0","Корзины и Заказы","0","API Заказов","1","0","Безопасность","0"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Отмена действий","0"
"1","E2E Сценарии","0","Покупка товара","0","0","От поиска до корзины","0"
"2","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Поиск товаров","0"
"0","Каталог и Склад","0","API Товаров","1","0","Безопасность","0"
"1","Интерфейс Админки","0","UI Авторизация","0","0","Фронтенд валидация","0"
"0","Корзины и Заказы","0","API Заказов","1","0","Получение списка","0"
"0","Каталог и Склад","0","API Товаров","1","0","Успешное создание","0"
"1","Интерфейс Админки","0","Каталог и Склад (UI)","0","0","Создание товара","0"
