"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Успешное добавление кроссовок через форму","tests.ui","Sun Mar 29 07:49:50 UTC 2026","broken","Sun Mar 29 07:49:50 UTC 2026","","test_inventory_ui","",""
"","8","Отображение заглушки при поиске несуществующего товара","tests.ui","Sun Mar 29 07:49:51 UTC 2026","broken","Sun Mar 29 07:49:51 UTC 2026","","test_inventory_ui","",""
"","0","Успешное добавление лимитированного товара в корзину покупателя","tests.e2e","Sun Mar 29 07:49:48 UTC 2026","broken","Sun Mar 29 07:49:48 UTC 2026","","test_checkout_flow","",""
"","0","Успешное создание нового кроссовка","tests.api","Sun Mar 29 07:49:45 UTC 2026","broken","Sun Mar 29 07:49:45 UTC 2026","","test_products_api","",""
"","0","Проверка создания товара с разными ценами","tests.api","Sun Mar 29 07:49:47 UTC 2026","broken","Sun Mar 29 07:49:47 UTC 2026","","test_products_api","",""
"","0","Проверка создания товара с разными ценами","tests.api","Sun Mar 29 07:49:46 UTC 2026","broken","Sun Mar 29 07:49:46 UTC 2026","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","Sun Mar 29 07:49:48 UTC 2026","passed","Sun Mar 29 07:49:48 UTC 2026","","test_products_api","",""
"","0","Проверка создания товара с разными ценами","tests.api","Sun Mar 29 07:49:46 UTC 2026","broken","Sun Mar 29 07:49:46 UTC 2026","","test_products_api","",""
"","320","Успешный вход с правильными данными","tests.api","Sun Mar 29 07:49:41 UTC 2026","broken","Sun Mar 29 07:49:42 UTC 2026","","test_auth_api","",""
"","7","Проверка появления ошибки при неверном пароле","tests.ui","Sun Mar 29 07:49:51 UTC 2026","broken","Sun Mar 29 07:49:51 UTC 2026","","test_login_ui","",""
"","0","Успешное получение списка заказов администратором","tests.api","Sun Mar 29 07:49:44 UTC 2026","broken","Sun Mar 29 07:49:44 UTC 2026","","test_orders_api","",""
"","7","Ошибка при попытке входа с пустыми полями","tests.ui","Sun Mar 29 07:49:51 UTC 2026","broken","Sun Mar 29 07:49:51 UTC 2026","","test_login_ui","",""
"","305","Блокировка входа с неверным паролем","tests.api","Sun Mar 29 07:49:42 UTC 2026","broken","Sun Mar 29 07:49:42 UTC 2026","","test_auth_api","",""
"","0","Ошибка создания товара без названия","tests.api","Sun Mar 29 07:49:48 UTC 2026","broken","Sun Mar 29 07:49:48 UTC 2026","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Sun Mar 29 07:49:43 UTC 2026","broken","Sun Mar 29 07:49:43 UTC 2026","","test_carts_api","",""
"","0","Проверка создания товара с разными ценами","tests.api","Sun Mar 29 07:49:47 UTC 2026","broken","Sun Mar 29 07:49:47 UTC 2026","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","Sun Mar 29 07:49:45 UTC 2026","passed","Sun Mar 29 07:49:45 UTC 2026","","test_orders_api","",""
"","0","Попытка добавить реальный товар в фейковую корзину","tests.api","Sun Mar 29 07:49:43 UTC 2026","broken","Sun Mar 29 07:49:43 UTC 2026","","test_carts_api","",""
"","0","Фильтрация таблицы через строку поиска","tests.ui","Sun Mar 29 07:49:50 UTC 2026","broken","Sun Mar 29 07:49:50 UTC 2026","","test_inventory_ui","",""
"","0","Ошибка при запросе несуществующего заказа","tests.api","Sun Mar 29 07:49:44 UTC 2026","broken","Sun Mar 29 07:49:44 UTC 2026","","test_orders_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Sun Mar 29 07:49:43 UTC 2026","broken","Sun Mar 29 07:49:43 UTC 2026","","test_carts_api","",""
"","7","Отмена создания товара закрывает форму без сохранения","tests.ui","Sun Mar 29 07:49:51 UTC 2026","broken","Sun Mar 29 07:49:51 UTC 2026","","test_inventory_ui","",""
"","7","Проверка переключения страниц (Next / Previous)","tests.ui","Sun Mar 29 07:49:50 UTC 2026","broken","Sun Mar 29 07:49:50 UTC 2026","","test_inventory_ui","",""
"","0","Проверка создания товара с разными ценами","tests.api","Sun Mar 29 07:49:45 UTC 2026","broken","Sun Mar 29 07:49:45 UTC 2026","","test_products_api","",""
"","304","Блокировка входа с пустыми полями","tests.api","Sun Mar 29 07:49:42 UTC 2026","broken","Sun Mar 29 07:49:42 UTC 2026","","test_auth_api","",""
