"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","Проверка создания товара с разными ценами","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","5","Ошибка создания товара без названия","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","19","Ошибка при запросе несуществующего заказа","tests.api","2026-09-02","passed","2026-09-02","","test_orders_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","2026-09-02","passed","2026-09-02","","test_auth_api","",""
"","416","Проверка создания товара с разными ценами","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","208","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-09-02","passed","2026-09-02","","test_carts_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-09-02","broken","2026-09-02","","test_carts_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-09-02","broken","2026-09-02","","test_carts_api","",""
"","5","Проверка создания товара с разными ценами","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","15","Успешное получение списка заказов администратором","tests.api","2026-09-02","passed","2026-09-02","","test_orders_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","309","Проверка создания товара с разными ценами","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","102","Успешный вход с правильными данными","tests.api","2026-09-02","passed","2026-09-02","","test_auth_api","",""
"","84","Блокировка входа с неверным паролем","tests.api","2026-09-02","passed","2026-09-02","","test_auth_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-09-02","passed","2026-09-02","","test_orders_api","",""
"","432","Проверка создания товара с разными ценами","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
"","272","Успешное создание нового кроссовка","tests.api","2026-09-02","passed","2026-09-02","","test_products_api","",""
